,translation
0,"{'en': 'list all boardgames by gmt.', 'sparql': 'select ?uri where [ ?uri dbo:publisher dbr:GMT_Games ]'}"
1,"{'en': 'who developed skype?', 'sparql': 'select distinct ?uri where [ dbr:Skype dbo:developer ?uri. ]'}"
2,"{'en': 'which people were born in heraklion?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Person ; dbo:birthPlace dbr:Heraklion. ]'}"
3,"{'en': 'in which u.s. state is area 51 located?', 'sparql': 'select distinct ?uri where [ dbr:Area_51 dbo:location ?uri . ?uri dbo:country dbr:United_States. ]'}"
4,"{'en': 'who is the mayor of new york city?', 'sparql': 'select distinct ?uri where [ dbr:New_York_City dbo:leaderName ?uri ]'}"
5,"{'en': 'which countries have places with more than two caves?', 'sparql': 'select distinct ?uri where [ ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country ] GROUP BY ?uri HAVING ( COUNT(?cave) > 2 )'}"
6,"{'en': 'where did abraham lincoln die?', 'sparql': 'select distinct ?uri where [ dbr:Abraham_Lincoln dbo:deathPlace ?uri. ]'}"
7,"{'en': 'which airports does air china serve?', 'sparql': 'select distinct ?uri where [ dbr:Air_China dbo:targetAirport ?uri ]'}"
8,"{'en': 'give me all actors starring in movies directed by and starring william shatner.', 'sparql': 'select distinct ?uri where [ ?x dbo:director dbr:William_Shatner ; dbo:starring dbr:William_Shatner [ ?x dbo:starring ?uri ] UNION [ ?x dbp:starring ?uri ] ]'}"
9,"{'en': 'what are the official languages of the philippines?', 'sparql': 'select distinct ?uri where [ dbr:Philippines dbo:officialLanguage ?uri ]'}"
10,"{'en': 'give me all danish films.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:country dbr:Denmark ]'}"
11,"{'en': 'which movies starring brad pitt were directed by guy ritchie?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:starring dbr:Brad_Pitt ; dbo:director dbr:Guy_Ritchie ]'}"
12,"{'en': 'give me the grandchildren of bruce lee.', 'sparql': 'select distinct ?uri where [ dbr:Bruce_Lee dbo:child ?child . ?child dbp:children ?uri ]'}"
13,"{'en': 'which other weapons did the designer of the uzi develop?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Weapon ; dbp:designer ?x . dbr:Uzi dbp:designer ?x filter ( ?uri != dbr:Uzi ) ]'}"
14,"{'en': 'who is the owner of universal studios?', 'sparql': 'select distinct ?uri where [ dbr:Universal_Studios dbo:owner ?uri ]'}"
15,"{'en': 'which state of the usa has the highest population density?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:densityrank ?rank ] order BY ASC(?rank) limit 1'}"
16,"{'en': 'which monarchs were married to a german?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Monarch ; dbo:spouse ?spouse [ ?spouse dbo:birthPlace dbr:Germany ] UNION [ ?spouse dbo:birthPlace ?p . ?p dbo:country dbr:Germany ] ]'}"
17,"{'en': 'which organizations were founded in 1950?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Organisation [ ?uri dbo:formationYear ?date ] UNION [ ?uri dbo:foundingYear ?date ] UNION [ ?uri dbp:foundation ?date ] UNION [ ?uri dbp:formation ?date ] filter regex(?date, ""^1950"") ]'}"
18,"{'en': 'who created the comic captain america?', 'sparql': 'select distinct ?uri where [ dbr:Captain_America dbo:creator ?uri ]'}"
19,"{'en': 'give me the apollo 14 astronauts.', 'sparql': 'select distinct ?uri where [ ?uri dbo:mission dbr:Apollo_14 ]'}"
20,"{'en': 'who wrote the book the pillars of the earth?', 'sparql': 'select distinct ?uri where [ dbr:The_Pillars_of_the_Earth dbo:author ?uri ]'}"
21,"{'en': 'which state of the united states of america has the highest density?', 'sparql': 'select ?uri where [ ?uri dbp:densityrank ?density ] order BY ASC(?density) limit 1'}"
22,"{'en': 'which spaceflights were launched from baikonur?', 'sparql': 'select distinct ?uri where [ ?uri dbp:launchPad dbr:Baikonur_Cosmodrome ]'}"
23,"{'en': 'give me a list of all trumpet players that were bandleaders.', 'sparql': 'select distinct ?uri where [ ?uri dbo:occupation dbr:Bandleader ; dbo:instrument dbr:Trumpet ]'}"
24,"{'en': 'which u.s. states are in the same timezone as utah?', 'sparql': 'select distinct ?uri where [ dbr:Utah dbp:timezone ?x . ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:timezone ?x filter ( ?uri != dbr:Utah ) ]'}"
25,"{'en': 'which u.s. states possess gold minerals?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:mineral ?mineral filter regex(?mineral, ""gold"", ""i"") ]'}"
26,"{'en': 'who is the daughter of ingrid bergman married to?', 'sparql': 'select distinct ?uri where [ dbr:Ingrid_Bergman dbo:child ?child . ?child dbp:spouse ?uri ]'}"
27,"{'en': 'how deep is lake placid?', 'sparql': 'select distinct ?n where [ dbr:Lake_Placid_(Texas) dbo:maximumDepth ?n ]'}"
28,"{'en': 'show me all museums in london.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Museum ; dbo:location> <res:London> ]'}"
29,"{'en': 'which caves have more than 3 entrances?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Cave ; <dbpedia2:entranceCount> ?entrance filter ( ?entrance > 3 ) ]'}"
30,"{'en': 'who is the tallest player of the atlanta falcons?', 'sparql': 'select distinct ?uri where [ ?uri dbo:team <res:Atlanta_Falcons> ; dbo:height> ?h ] order BY DESC(?h) OFFSET 0 limit 1'}"
31,"{'en': 'what are the top-10 action role-playing video games according to ign?', 'sparql': 'select distinct ?uri where [ ?uri <dct:subject> <res:Category:Action_role-playing_video_games> ; dbp:ign ?score ] order BY DESC(?score) limit 10'}"
32,"{'en': 'give me all writers that won the nobel prize in literature.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Writer ; dbo:award> <res:Nobel_Prize_in_Literature> ]'}"
33,"{'en': 'show me all basketball players that are higher than 2 meters.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:BasketballPlayer ; dbo:height> ?n filter ( ?n > 2.0 ) ]'}"
34,"{'en': 'when was the statue of liberty built?', 'sparql': 'select distinct ?date where [ <res:Statue_of_Liberty> dbp:beginningDate ?date ]'}"
35,"{'en': 'which states border illinois?', 'sparql': 'select distinct ?uri where [ <res:Illinois> dbp:borderingstates ?uri ]'}"
36,"{'en': 'who developed minecraft?', 'sparql': 'select distinct ?uri where [ <res:Minecraft> dbo:developer ?uri ]'}"
37,"{'en': 'where did hillel slovak die?', 'sparql': 'select distinct ?uri where [ <res:Hillel_Slovak> dbo:deathPlace ?uri ]'}"
38,"{'en': 'what movies does jesse eisenberg play in?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Film ; dbo:starring> <res:Jesse_Eisenberg> ]'}"
39,"{'en': 'give all swimmers that were born in moscow.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Swimmer ; dbo:birthPlace> <res:Moscow> ]'}"
40,"{'en': 'give me all cosmonauts.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Astronaut [ ?uri dbo:nationality> <res:Russia> ] UNION [ ?uri dbo:nationality> <res:Soviet_Union> ] ]'}"
41,"{'en': 'give me all swiss non-profit organizations.', 'sparql': 'select distinct ?uri where [ ?uri dbo:type <res:Nonprofit_organization> [ ?uri dbo:location> <res:Switzerland> ] UNION [ ?uri dbo:location> ?x . ?x dbo:country> <res:Switzerland> ] ]'}"
42,"{'en': 'which presidents were born in 1945?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:President ; dbo:birthDate> ?date filter regex(?date, ""^1945"") ]'}"
43,"{'en': 'what kind of music did lou reed play?', 'sparql': 'select distinct ?uri where [ <res:Lou_Reed> dbo:genre ?uri ]'}"
44,"{'en': 'where do the red sox play?', 'sparql': 'select distinct ?uri where [ <res:Boston_Red_Sox> dbp:ballpark ?uri ]'}"
45,"{'en': 'show a list of soccer clubs that play in the bundesliga.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:SoccerClub ; dbo:league> <res:Bundesliga> ]'}"
46,"{'en': 'which volcanos in japan erupted since 2000?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Volcano ; dbo:locatedInArea> <res:Japan> ; dbo:eruptionYear> ?date filter ( year(?date) >= 2000 ) ]'}"
47,"{'en': 'which bridges cross the seine?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Bridge ; dbo:crosses> <res:Seine> ]'}"
48,"{'en': 'what is the official color of the university of oxford?', 'sparql': 'select distinct ?string where [ <res:University_of_Oxford> dbo:officialSchoolColour ?string ]'}"
49,"{'en': 'how many films did hal roach produce?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri dbo:producer <res:Hal_Roach> ]'}"
50,"{'en': 'give me all danish movies.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Film ; dbo:country> <res:Denmark> ]'}"
51,"{'en': 'what is the most frequent cause of death?', 'sparql': 'select distinct ?x where [ ?uri dbo:deathCause ?x . ] order BY DESC(COUNT(distinct ?uri)) OFFSET 0 limit 1'}"
52,"{'en': 'who are the four youngest mvp basketball players?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:BasketballPlayer ; dbo:birthDate> ?date ; <dbpedia2:highlights> ?h filter regex(?h, ""MVP"") ] order BY DESC(?date) OFFSET 0 limit 4'}"
53,"{'en': 'give me all companies in munich.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Company [ ?uri dbo:location> <res:Munich> ] UNION [ ?uri dbo:headquarter> <res:Munich> ] UNION [ ?uri dbo:locationCity> <res:Munich> ] ]'}"
54,"{'en': 'give me the capitals of all countries that the himalayas run through.', 'sparql': 'select distinct ?uri where [ <res:Himalayas> dbo:country ?country . ?country dbo:capital> ?uri ]'}"
55,"{'en': 'how many movies did park chan-wook direct?', 'sparql': 'select COUNT(distinct ?uri AS ?uri) where [ ?uri dbo:director <res:Park_Chan-wook> . ]'}"
56,"{'en': 'which rivers flow into a german lake?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:River . ?x dbo:inflow> ?uri ; a dbo:Lake> ; dbo:country> <res:Germany> ]'}"
57,"{'en': 'how many airlines are there?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Airline ]'}"
58,"{'en': 'give me all islands that belong to japan.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Island ; dbo:country> <res:Japan> ]'}"
59,"{'en': 'how many inhabitants does maribor have?', 'sparql': 'select distinct ?num where [ <res:Maribor> dbo:populationTotal ?num ]'}"
60,"{'en': 'give me all apollo 14 astronauts.', 'sparql': 'select distinct ?uri where [ ?uri dbo:mission <res:Apollo_14> ]'}"
61,"{'en': 'which companies have more than 1 million employees?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Company [ ?uri dbo:numberOfEmployees> ?n ] UNION [ ?uri <dbpedia2:numEmployees> ?n ] filter ( ?n > 1000000 ) ]'}"
62,"{'en': 'in which films directed by garry marshall was julia roberts starring?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Film ; dbo:starring> <res:Julia_Roberts> ; dbo:director> <res:Garry_Marshall> ]'}"
63,"{'en': 'give me all soccer clubs in the premier league.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:SoccerClub ; dbo:league> <res:Premier_League> ]'}"
64,"{'en': 'what is the highest place of the urals?', 'sparql': 'select distinct ?uri where [ <res:Ural_Mountains> dbp:highest ?uri ]'}"
65,"{'en': 'who is the governor of wyoming?', 'sparql': 'select distinct ?uri where [ <res:Wyoming> dbp:governor ?uri ]'}"
66,"{'en': 'where did the architect of the eiffel tower study?', 'sparql': 'select distinct ?uri where [ <res:Eiffel_Tower> dbo:architect ?x . ?x <dbpedia2:almaMater> ?uri ]'}"
67,"{'en': 'give me all world heritage sites designated within the past two years.', 'sparql': ""select distinct ?uri where [ ?uri rdf:type <onto:WorldHeritageSite> . [ ?uri <dbpedia2:year> '2013'^^xsd:integer . ] UNION [ ?uri <dbpedia2:year> '2014'^^xsd:integer . ] ]""}"
68,"{'en': 'give me all actors who were born in paris after 1950.', 'sparql': ""select distinct ?uri where [ ?uri rdf:type <onto:Actor> . ?uri <onto:birthPlace> <res:Paris> . ?uri <onto:birthDate> ?date . filter ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) ]""}"
69,"{'en': 'which movies star both liz taylor and richard burton?', 'sparql': 'select distinct ?uri where [ ?uri dbo:starring <res:Elizabeth_Taylor> ; dbo:starring> <res:Richard_Burton> ]'}"
70,"{'en': 'give me all australian nonprofit organizations.', 'sparql': 'select distinct ?uri where [ ?uri dbo:type <res:Nonprofit_organization> [ ?uri dbo:locationCountry> <res:Australia> ] UNION [ ?uri dbo:location> ?x . ?x dbo:country> <res:Australia> ] ]'}"
71,"{'en': 'which pope succeeded john paul ii?', 'sparql': 'select distinct ?uri where [ <res:Pope_John_Paul_II> dbp:successor ?uri ]'}"
72,"{'en': 'give me all esa astronauts.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Astronaut ; <dbpedia2:type> <res:European_Space_Agency> ]'}"
73,"{'en': 'who was president of pakistan in 1978?', 'sparql': 'select distinct ?uri where [ ?uri dbp:title <res:President_of_Pakistan> ; dbp:years> 1978 ]'}"
74,"{'en': 'who is the owner of rolls-royce?', 'sparql': 'select distinct ?uri where [ <res:Rolls-Royce_Motors> dbo:owner ?uri ]'}"
75,"{'en': 'how many museums does paris have?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Museum ; dbo:location> <res:Paris> ]'}"
76,"{'en': 'where was jfk assassinated?', 'sparql': 'select distinct ?uri where [ <res:John_F._Kennedy> dbo:deathPlace ?uri ]'}"
77,"{'en': 'give me all federal chancellors of germany.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Person [ ?uri dbo:office> ""Chancellor of Germany"" ] UNION [ ?uri <dbpedia2:office> <res:Chancellor_of_Germany> ] ]'}"
78,"{'en': 'show me everyone who was born on halloween.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Person [ ?uri dbo:birthDate> ?date ] UNION [ ?uri <dbpedia2:birthDate> ?date ] <res:Halloween> <dbpedia2:date> ?date ]'}"
79,"{'en': 'which beer originated in ireland?', 'sparql': 'select distinct ?uri where [ ?uri <dbpedia2:type> <res:Beer> ; dbo:origin <res:Beer_in_Ireland> ]'}"
80,"{'en': 'to which countries does the himalayan mountain system extend?', 'sparql': 'select distinct ?uri where [ <res:Himalayas> dbo:country ?uri ]'}"
81,"{'en': 'which actors were born in germany?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Actor [ ?uri dbo:birthPlace> <res:Germany> ] UNION [ ?uri dbo:birthPlace> ?place . ?place dbo:country> <res:Germany> ] ]'}"
82,"{'en': 'how much carbs does peanut butter have?', 'sparql': 'select distinct ?carbs where [ <res:Peanut_butter> dbp:carbs ?carbs ]'}"
83,"{'en': 'who produced the most films?', 'sparql': 'select distinct ?uri where [ ?film rdf:type <onto:Film> . ?film <onto:producer> ?uri . ] order BY DESC(COUNT(?film)) OFFSET 0 limit 1'}"
84,"{'en': 'how many employees does google have?', 'sparql': 'select distinct ?num where [ <res:Google> dbo:numberOfEmployees ?num ]'}"
85,"{'en': 'give me all actors who were born in berlin.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Actor ; dbo:birthPlace> <res:Berlin> ]'}"
86,"{'en': 'who created goofy?', 'sparql': 'select distinct ?uri where [ <res:Goofy> dbo:creator ?uri ]'}"
87,"{'en': 'which music albums contain the song last christmas?', 'sparql': 'select distinct ?uri where [ ?single dbo:album ?uri ; <rdfs:label> ""Last Christmas""@en ]'}"
88,"{'en': 'when was alberta admitted as province?', 'sparql': 'select distinct ?date where [ <res:Alberta> dbp:admittancedate ?date ]'}"
89,"{'en': 'how many missions does the soyuz programme have?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri dbp:programme <res:Soyuz_programme> ]'}"
90,"{'en': 'give me all the tv shows with neil patrick harris.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:TelevisionShow ; dbo:starring> <res:Neil_Patrick_Harris> ]'}"
91,"{'en': 'when were the hells angels founded?', 'sparql': 'select distinct ?date where [ <res:Hells_Angels> dbp:founded ?date ]'}"
92,"{'en': 'what is the net income of apple?', 'sparql': 'select distinct ?ni where [ <res:Apple_Inc.> dbo:netIncome ?ni ]'}"
93,"{'en': 'give me all swedish holidays.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Holiday ; dbo:country> <res:Sweden> ]'}"
94,"{'en': 'in which city was the former dutch queen juliana buried?', 'sparql': 'select distinct ?uri where [ <res:Juliana_of_the_Netherlands> <dbpedia2:burialPlace> ?uri . ?uri a dbo:Settlement ]'}"
95,"{'en': 'list all the musicals with music by leonard bernstein.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Musical ; dbo:musicBy> <res:Leonard_Bernstein> ]'}"
96,"{'en': 'give me all companies in the advertising industry.', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Company [ ?uri dbo:industry> <res:Advertising> ] UNION [ ?uri dbo:industry> ?industry filter regex(?industry, ""advertising"", ""i"") ] ]'}"
97,"{'en': 'what is the largest metropolitan area in washington state?', 'sparql': 'select distinct ?uri where [ <res:Washington_(state)> dbp:largestmetro ?uri ]'}"
98,"{'en': 'who killed john lennon?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Person ; <dbpedia2:conviction> <res:Death_of_John_Lennon> ]'}"
99,"{'en': 'which writers studied in istanbul?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Writer [ ?uri dbo:almaMater> ?x ] UNION [ ?uri dbo:education> ?x ] [ ?x dbo:city> <res:Istanbul> ] UNION [ ?x <dbpedia2:city> <res:Istanbul> ] ]'}"
100,"{'en': 'give me all australian metalcore bands.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Band ; dbo:genre> <res:Metalcore> [ ?uri dbo:hometown> <res:Australia> ] UNION [ ?uri dbo:hometown> ?h . ?h dbo:country> <res:Australia> ] ]'}"
101,"{'en': 'which countries adopted the euro?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Country [ ?uri dbo:currency> <res:Euro> ] UNION [ ?uri <dbpedia2:currencyCode> ""EUR""@en ] ]'}"
102,"{'en': 'give me all types of eating disorders.', 'sparql': 'select distinct ?uri where [ ?uri a yago:WikicatEatingDisorders ]'}"
103,"{'en': 'was marc chagall a jew?', 'sparql': 'ask where [ <res:Marc_Chagall> dbp:ethnicity ""Jewish""@en ]'}"
104,"{'en': ""what was brazil's lowest rank in the fifa world ranking?"", 'sparql': 'select distinct ?n where [ <res:Brazil_national_football_team> dbp:fifaMin ?n ]'}"
105,"{'en': 'how many films did leonardo dicaprio star in?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Film ; dbo:starring> <res:Leonardo_DiCaprio> ]'}"
106,"{'en': 'was margaret thatcher a chemist?', 'sparql': 'ask where [ <res:Margaret_Thatcher> dbo:profession <res:Chemist> ]'}"
107,"{'en': 'which u.s. states are in the same time zone as utah?', 'sparql': 'select distinct ?uri where [ <res:Utah> dbp:timezone ?x . ?uri a <yago:WikicatStatesOfTheUnitedStates> ; dbp:timezone> ?x filter ( ?uri != <res:Utah> ) ]'}"
108,"{'en': 'give me all books written by danielle steel.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Book ; dbo:author> <res:Danielle_Steel> ]'}"
109,"{'en': 'which country has the most official languages?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type <onto:Country> . ?uri <dbpedia2:officialLanguages> ?language . ] order BY DESC(COUNT(?language)) OFFSET 0 limit 1'}"
110,"{'en': 'what is the total amount of men and women serving in the fdny?', 'sparql': 'select distinct ?num where [ <res:New_York_City_Fire_Department> dbp:employees ?num ]'}"
111,"{'en': 'which actor played chewbacca?', 'sparql': 'select distinct ?uri where [ <res:Chewbacca> dbo:portrayer ?uri ]'}"
112,"{'en': 'give me all libraries established earlier than 1400.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Library ; <dbpedia2:established> ?year filter ( ?year < 1400 ) ]'}"
113,"{'en': 'which programming languages were influenced by perl?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:ProgrammingLanguage [ ?uri dbo:influencedBy> <res:Perl> ] UNION [ <res:Perl> dbo:influenced> ?uri ] ]'}"
114,"{'en': 'in which u.s. state is mount mckinley located?', 'sparql': 'select distinct ?uri where [ <res:Mount_McKinley> dbo:wikiPageRedirects ?x . ?x dbo:locatedInArea ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ]'}"
115,"{'en': 'what airlines are part of the skyteam alliance?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Airline [ ?uri dbo:alliance> <res:SkyTeam> ] UNION [ ?uri dbo:Alliance> <res:SkyTeam> ] ]'}"
116,"{'en': 'which ships were called after benjamin franklin?', 'sparql': 'select distinct ?uri where [ ?uri dbp:shipNamesake <res:Benjamin_Franklin> ]'}"
117,"{'en': 'give me all methodist politicians.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Politician ; dbo:religion> <res:Methodism> ]'}"
118,"{'en': 'what other books have been written by the author of the fault in our stars?', 'sparql': 'select ?books where [ ?books dbo:author dbr:John_Green_(author) ]'}"
119,"{'en': 'what is the highest mountain?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Mountain ; dbo:elevation> ?elevation ] order BY DESC(?elevation) OFFSET 0 limit 1'}"
120,"{'en': 'which poet wrote the most books?', 'sparql': 'select distinct ?uri where [ ?uri <onto:occupation> <res:Poet> . ?x <onto:author> ?uri . ?x rdf:type <onto:Book> . ] order BY DESC(COUNT(?x)) OFFSET 0 limit 1'}"
121,"{'en': 'which programming languages influenced javascript?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:ProgrammingLanguage ; dbo:influenced> <res:JavaScript> ]'}"
122,"{'en': 'which musician wrote the most books?', 'sparql': 'select distinct ?uri where [ ?uri <onto:occupation> <res:Musician> . ?x <onto:author> ?uri . ?x rdf:type <onto:Book> . ] order BY DESC(COUNT(?x)) OFFSET 0 limit 1'}"
123,"{'en': 'which films starring clint eastwood did he direct himself?', 'sparql': 'select distinct ?uri where [ ?uri dbo:director <res:Clint_Eastwood> ; dbo:starring> <res:Clint_Eastwood> ]'}"
124,"{'en': 'which software has been developed by organizations founded in california?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Software . ?company a dbo:Company> . ?uri dbo:developer> ?company . ?company dbo:foundationPlace> <res:California> ]'}"
125,"{'en': 'which instruments does cat stevens play?', 'sparql': 'select distinct ?uri where [ <res:Cat_Stevens> dbo:instrument ?uri ]'}"
126,"{'en': 'how many airlines are members of the star alliance?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:Airline ; dbo:alliance> <res:Star_Alliance> ]'}"
127,"{'en': 'give me all actors called baldwin.', 'sparql': ""select distinct ?uri where [ ?uri foaf:surname 'Baldwin'@en . [ ?uri <onto:occupation> <res:Actor> . ] UNION [ ?uri rdf:type <onto:Actor> . ] ]""}"
